id	content	itemId	userId	createdAt
c1	Great quality chair, really comfortable!	1	user_7	2024-10-02T09:00:00Z
c2	Looks nice but it’s a bit smaller than expected.	1	user_8	2024-10-03T14:20:00Z
c3	Perfect coffee table for my living room.	2	user_9	2024-10-02T10:15:00Z
c4	The glass is a bit fragile. Be careful.	2	user_10	2024-10-04T16:40:00Z
c5	Makes smoothies super fast, love it!	3	user_11	2024-10-03T08:30:00Z
c6	Noisy but does the job well.	3	user_12	2024-10-04T12:00:00Z
c7	Stylish and works well with my décor.	4	user_13	2024-10-05T13:10:00Z
c8	Stopped working after a week. Disappointed.	4	user_14	2024-10-06T15:25:00Z
c9	Beautiful bookshelf, adds character to the room.	5	user_15	2024-10-03T11:50:00Z
c10	Assembly was a bit tricky but worth it.	5	user_16	2024-10-04T18:30:00Z
c11	Perfect light for night-time reading!	6	user_17	2024-10-05T09:05:00Z
c12	The brightness settings are very convenient.	6	user_18	2024-10-06T13:45:00Z
